"GENE_FREQUENCY"	"TOTAL_NUMBER_OF_SIGNATURES_IN_CLUSTER"	"GENE_PROPORTION"	"gene"	"cluster"	"NUMBER_OF_TUMOURS"
30	148	0.202702702702703	"NR4A2"	1	12
30	148	0.202702702702703	"ERRFI1"	1	11
30	148	0.202702702702703	"RAB11FIP1"	1	9
30	148	0.202702702702703	"TRAF4"	1	9
29	148	0.195945945945946	"MYADM"	1	10
29	148	0.195945945945946	"ZC3H12A"	1	9
29	148	0.195945945945946	"HERPUD1"	1	9
29	148	0.195945945945946	"CKS2"	1	8
29	148	0.195945945945946	"BAG3"	1	7
28	148	0.189189189189189	"TGIF1"	1	10
28	148	0.189189189189189	"ID3"	1	9
28	148	0.189189189189189	"JUND"	1	8
27	148	0.182432432432432	"PMAIP1"	1	11
27	148	0.182432432432432	"TACSTD2"	1	10
27	148	0.182432432432432	"ETS2"	1	10
27	148	0.182432432432432	"DNAJA1"	1	9
27	148	0.182432432432432	"PDLIM3"	1	7
26	148	0.175675675675676	"KLF10"	1	11
26	148	0.175675675675676	"CYR61"	1	11
26	148	0.175675675675676	"MXD1"	1	10
26	148	0.175675675675676	"TNFAIP3"	1	9
26	148	0.175675675675676	"NCOA7"	1	7
25	148	0.168918918918919	"OVOL1"	1	10
25	148	0.168918918918919	"TSC22D3"	1	10
25	148	0.168918918918919	"HSP90AA1"	1	8
25	148	0.168918918918919	"HSPA6"	1	7
24	148	0.162162162162162	"C15orf48"	1	10
24	148	0.162162162162162	"RHOV"	1	8
24	148	0.162162162162162	"DUSP4"	1	7
24	148	0.162162162162162	"B4GALT1"	1	6
23	148	0.155405405405405	"SDC4"	1	8
23	148	0.155405405405405	"C8orf4"	1	8
23	148	0.155405405405405	"DNAJB6"	1	7
23	148	0.155405405405405	"ICAM1"	1	7
23	148	0.155405405405405	"DNAJA4"	1	6
23	148	0.155405405405405	"MRPL18"	1	6
23	148	0.155405405405405	"GRB7"	1	6
23	148	0.155405405405405	"HNRNPA0"	1	6
23	148	0.155405405405405	"BCL3"	1	6
22	148	0.148648648648649	"DUSP10"	1	9
22	148	0.148648648648649	"EDN1"	1	9
22	148	0.148648648648649	"FHL2"	1	9
22	148	0.148648648648649	"CXCL2"	1	8
22	148	0.148648648648649	"TNFRSF12A"	1	8
22	148	0.148648648648649	"S100P"	1	7
22	148	0.148648648648649	"HSPB8"	1	7
21	148	0.141891891891892	"INSIG1"	1	8
21	148	0.141891891891892	"PLK3"	1	8
21	148	0.141891891891892	"EZR"	1	8
21	148	0.141891891891892	"IGFBP5"	1	8
21	148	0.141891891891892	"SLC38A2"	1	8
21	148	0.141891891891892	"DNAJB9"	1	8
21	148	0.141891891891892	"H3F3B"	1	7
20	148	0.135135135135135	"TPM4"	1	10
20	148	0.135135135135135	"TNFSF10"	1	9
20	148	0.135135135135135	"RSRP1"	1	9
20	148	0.135135135135135	"ARL5B"	1	8
20	148	0.135135135135135	"ATP1B1"	1	7
20	148	0.135135135135135	"HSPA8"	1	7
20	148	0.135135135135135	"IER5"	1	6
20	148	0.135135135135135	"SCGB2A1"	1	6
20	148	0.135135135135135	"YPEL2"	1	6
20	148	0.135135135135135	"TMC5"	1	5
20	148	0.135135135135135	"FBXO32"	1	5
19	148	0.128378378378378	"MAP1LC3B"	1	10
19	148	0.128378378378378	"MIDN"	1	8
19	148	0.128378378378378	"GADD45G"	1	8
19	148	0.128378378378378	"VMP1"	1	7
19	148	0.128378378378378	"HSPA5"	1	7
19	148	0.128378378378378	"SCGB2A2"	1	7
19	148	0.128378378378378	"TUBA1A"	1	7
19	148	0.128378378378378	"WEE1"	1	6
19	148	0.128378378378378	"PDK4"	1	6
18	148	0.121621621621622	"STAT3"	1	10
18	148	0.121621621621622	"PERP"	1	9
18	148	0.121621621621622	"RBBP6"	1	9
18	148	0.121621621621622	"KCNQ1OT1"	1	9
18	148	0.121621621621622	"OSER1"	1	7
18	148	0.121621621621622	"SERP1"	1	7
18	148	0.121621621621622	"UBE2B"	1	7
18	148	0.121621621621622	"HSPE1"	1	6
18	148	0.121621621621622	"SOX9"	1	6
18	148	0.121621621621622	"MLF1"	1	6
18	148	0.121621621621622	"UBB"	1	6
18	148	0.121621621621622	"MDK"	1	6
18	148	0.121621621621622	"YPEL5"	1	5
17	148	0.114864864864865	"HMGCS1"	1	9
17	148	0.114864864864865	"PTP4A1"	1	9
17	148	0.114864864864865	"WSB1"	1	8
17	148	0.114864864864865	"CEBPB"	1	8
17	148	0.114864864864865	"EIF4A2"	1	8
17	148	0.114864864864865	"S100A10"	1	8
17	148	0.114864864864865	"ELMSAN1"	1	8
17	148	0.114864864864865	"ISG15"	1	7
17	148	0.114864864864865	"CCNI"	1	7
17	148	0.114864864864865	"CLU"	1	7
17	148	0.114864864864865	"TIMP3"	1	7
17	148	0.114864864864865	"ARL4A"	1	6
17	148	0.114864864864865	"SERPINH1"	1	6
17	148	0.114864864864865	"SCGB1D2"	1	6
17	148	0.114864864864865	"UGDH"	1	6
17	148	0.114864864864865	"FUS"	1	5
16	148	0.108108108108108	"BAG1"	1	9
16	148	0.108108108108108	"IFRD1"	1	8
16	148	0.108108108108108	"TFF1"	1	7
16	148	0.108108108108108	"SERTAD3"	1	7
16	148	0.108108108108108	"IGFBP4"	1	7
16	148	0.108108108108108	"TPM1"	1	7
16	148	0.108108108108108	"PKIB"	1	6
16	148	0.108108108108108	"MALAT1"	1	6
16	148	0.108108108108108	"XBP1"	1	6
16	148	0.108108108108108	"HEBP2"	1	6
16	148	0.108108108108108	"GEM"	1	6
16	148	0.108108108108108	"EGR2"	1	6
16	148	0.108108108108108	"ID2"	1	6
16	148	0.108108108108108	"EGR3"	1	6
16	148	0.108108108108108	"HSPD1"	1	5
15	148	0.101351351351351	"GLUL"	1	8
15	148	0.101351351351351	"DDIT4"	1	8
15	148	0.101351351351351	"CDC42EP1"	1	7
15	148	0.101351351351351	"RBM39"	1	7
15	148	0.101351351351351	"MT-ND5"	1	7
15	148	0.101351351351351	"CSNK1A1"	1	6
15	148	0.101351351351351	"SLC25A25"	1	6
15	148	0.101351351351351	"PEG10"	1	6
15	148	0.101351351351351	"DEDD2"	1	4
22	99	0.222222222222222	"AZGP1"	2	7
20	99	0.202020202020202	"ATP5C1"	2	9
20	99	0.202020202020202	"ATP5F1"	2	8
20	99	0.202020202020202	"NHP2"	2	7
20	99	0.202020202020202	"MGP"	2	7
19	99	0.191919191919192	"RPN2"	2	9
19	99	0.191919191919192	"C14orf2"	2	8
19	99	0.191919191919192	"NQO1"	2	7
18	99	0.181818181818182	"REEP5"	2	5
17	99	0.171717171717172	"SSR2"	2	8
17	99	0.171717171717172	"NDUFA8"	2	8
17	99	0.171717171717172	"ATP5E"	2	8
17	99	0.171717171717172	"SH3BGRL"	2	7
17	99	0.171717171717172	"PIP"	2	6
17	99	0.171717171717172	"PRDX2"	2	6
17	99	0.171717171717172	"RAB25"	2	6
16	99	0.161616161616162	"EIF3L"	2	9
16	99	0.161616161616162	"PRDX1"	2	9
16	99	0.161616161616162	"USMG5"	2	8
16	99	0.161616161616162	"DAD1"	2	8
16	99	0.161616161616162	"SEC61G"	2	7
16	99	0.161616161616162	"CCT3"	2	7
16	99	0.161616161616162	"NDUFA4"	2	7
16	99	0.161616161616162	"APOD"	2	6
16	99	0.161616161616162	"CHCHD10"	2	6
16	99	0.161616161616162	"DDIT4"	2	6
16	99	0.161616161616162	"MRPL24"	2	5
16	99	0.161616161616162	"NME1"	2	5
15	99	0.151515151515152	"DCXR"	2	9
15	99	0.151515151515152	"NDUFAB1"	2	7
15	99	0.151515151515152	"ATP5A1"	2	7
15	99	0.151515151515152	"ATP5B"	2	7
15	99	0.151515151515152	"ATOX1"	2	6
15	99	0.151515151515152	"SLC50A1"	2	6
15	99	0.151515151515152	"POLR2I"	2	6
15	99	0.151515151515152	"TIMM8B"	2	5
15	99	0.151515151515152	"VPS29"	2	5
15	99	0.151515151515152	"TIMP1"	2	5
15	99	0.151515151515152	"AHCY"	2	5
14	99	0.141414141414141	"PRDX3"	2	8
14	99	0.141414141414141	"RBM3"	2	7
14	99	0.141414141414141	"GSTM3"	2	7
14	99	0.141414141414141	"ABRACL"	2	6
14	99	0.141414141414141	"RBX1"	2	6
14	99	0.141414141414141	"PAFAH1B3"	2	6
14	99	0.141414141414141	"AP1S1"	2	6
14	99	0.141414141414141	"RPL34"	2	5
14	99	0.141414141414141	"ATPIF1"	2	5
14	99	0.141414141414141	"PGD"	2	5
14	99	0.141414141414141	"CANX"	2	4
14	99	0.141414141414141	"SELENBP1"	2	4
13	99	0.131313131313131	"ATP5J"	2	9
13	99	0.131313131313131	"PSME2"	2	8
13	99	0.131313131313131	"PSME1"	2	8
13	99	0.131313131313131	"SDHC"	2	7
13	99	0.131313131313131	"AKR1A1"	2	7
13	99	0.131313131313131	"GSTP1"	2	7
13	99	0.131313131313131	"RARRES3"	2	6
13	99	0.131313131313131	"ISCU"	2	6
13	99	0.131313131313131	"NPM1"	2	6
13	99	0.131313131313131	"SPDEF"	2	6
13	99	0.131313131313131	"BLVRB"	2	6
13	99	0.131313131313131	"NDUFB3"	2	6
13	99	0.131313131313131	"RPL36A"	2	5
13	99	0.131313131313131	"MDH1"	2	5
13	99	0.131313131313131	"MYEOV2"	2	5
13	99	0.131313131313131	"MAGED2"	2	5
13	99	0.131313131313131	"CRIP2"	2	5
13	99	0.131313131313131	"SEC11C"	2	4
13	99	0.131313131313131	"CD151"	2	4
13	99	0.131313131313131	"COPE"	2	4
13	99	0.131313131313131	"PFN2"	2	4
13	99	0.131313131313131	"ALDH2"	2	2
12	99	0.121212121212121	"SNRPD2"	2	7
12	99	0.121212121212121	"TSTD1"	2	7
12	99	0.121212121212121	"RPL13A"	2	7
12	99	0.121212121212121	"HIGD2A"	2	7
12	99	0.121212121212121	"NDUFC1"	2	7
12	99	0.121212121212121	"PYCARD"	2	7
12	99	0.121212121212121	"FIS1"	2	6
12	99	0.121212121212121	"ITM2B"	2	6
12	99	0.121212121212121	"PSMB3"	2	6
12	99	0.121212121212121	"G6PD"	2	6
12	99	0.121212121212121	"CST3"	2	6
12	99	0.121212121212121	"SH3BGRL3"	2	6
12	99	0.121212121212121	"TAGLN2"	2	5
12	99	0.121212121212121	"NDUFA1"	2	5
12	99	0.121212121212121	"TMEM183A"	2	5
12	99	0.121212121212121	"S100A10"	2	5
12	99	0.121212121212121	"NGFRAP1"	2	5
12	99	0.121212121212121	"DEGS2"	2	5
12	99	0.121212121212121	"ARPC5"	2	4
12	99	0.121212121212121	"TM7SF2"	2	4
12	99	0.121212121212121	"RPS10"	2	4
12	99	0.121212121212121	"LAMTOR5"	2	4
12	99	0.121212121212121	"TMEM256"	2	4
12	99	0.121212121212121	"UQCRB"	2	4
12	99	0.121212121212121	"TMEM141"	2	4
12	99	0.121212121212121	"KRTCAP2"	2	3
12	99	0.121212121212121	"HM13"	2	3
11	99	0.111111111111111	"NDUFS6"	2	7
11	99	0.111111111111111	"PARK7"	2	7
11	99	0.111111111111111	"PSMD4"	2	7
11	99	0.111111111111111	"NDUFB11"	2	7
11	99	0.111111111111111	"TOMM7"	2	7
11	99	0.111111111111111	"EIF6"	2	7
11	99	0.111111111111111	"UQCRHL"	2	7
11	99	0.111111111111111	"ADI1"	2	7
11	99	0.111111111111111	"VDAC1"	2	6
11	99	0.111111111111111	"C9orf16"	2	6
11	99	0.111111111111111	"ETFA"	2	6
11	99	0.111111111111111	"LSM3"	2	6
11	99	0.111111111111111	"UQCRH"	2	6
11	99	0.111111111111111	"CYB5A"	2	6
11	99	0.111111111111111	"SNRPE"	2	5
11	99	0.111111111111111	"BSG"	2	5
11	99	0.111111111111111	"SSR3"	2	5
11	99	0.111111111111111	"DPM3"	2	5
11	99	0.111111111111111	"LAMTOR4"	2	5
11	99	0.111111111111111	"RPS11"	2	5
11	99	0.111111111111111	"FAM195A"	2	5
11	99	0.111111111111111	"TMEM261"	2	5
11	99	0.111111111111111	"ATP5I"	2	5
11	99	0.111111111111111	"EIF5A"	2	5
11	99	0.111111111111111	"PIN4"	2	5
11	99	0.111111111111111	"ATXN10"	2	5
11	99	0.111111111111111	"ATP5G3"	2	5
11	99	0.111111111111111	"ARPC3"	2	5
11	99	0.111111111111111	"UBA52"	2	5
11	99	0.111111111111111	"BEX4"	2	5
11	99	0.111111111111111	"ROMO1"	2	4
11	99	0.111111111111111	"SLC25A6"	2	4
11	99	0.111111111111111	"SDCBP"	2	4
11	99	0.111111111111111	"EIF4EBP1"	2	4
11	99	0.111111111111111	"PFDN6"	2	4
11	99	0.111111111111111	"PSMA3"	2	4
11	99	0.111111111111111	"RNF7"	2	4
11	99	0.111111111111111	"SPCS2"	2	4
11	99	0.111111111111111	"CYSTM1"	2	4
11	99	0.111111111111111	"CAPG"	2	4
11	99	0.111111111111111	"CD9"	2	4
11	99	0.111111111111111	"GRHPR"	2	4
11	99	0.111111111111111	"SEPP1"	2	3
11	99	0.111111111111111	"ESF1"	2	3
11	99	0.111111111111111	"TFF3"	2	3
11	99	0.111111111111111	"ARPC1B"	2	3
11	99	0.111111111111111	"ANXA5"	2	3
11	99	0.111111111111111	"WDR83OS"	2	3
10	99	0.101010101010101	"LYPLA1"	2	9
10	99	0.101010101010101	"COMT"	2	7
10	99	0.101010101010101	"MDH2"	2	7
10	99	0.101010101010101	"DNPH1"	2	7
10	99	0.101010101010101	"RAB13"	2	7
10	99	0.101010101010101	"EIF3K"	2	7
10	99	0.101010101010101	"PTGR1"	2	7
10	99	0.101010101010101	"LGALS3"	2	7
10	99	0.101010101010101	"TPI1"	2	6
10	99	0.101010101010101	"COPZ1"	2	6
10	99	0.101010101010101	"LDHA"	2	6
10	99	0.101010101010101	"PSMD8"	2	6
10	99	0.101010101010101	"EIF2S3"	2	6
10	99	0.101010101010101	"NME3"	2	6
10	99	0.101010101010101	"EIF3E"	2	6
10	99	0.101010101010101	"MRPL13"	2	6
10	99	0.101010101010101	"ZFAND6"	2	6
10	99	0.101010101010101	"FAM162A"	2	6
10	99	0.101010101010101	"ATP6V0E1"	2	6
10	99	0.101010101010101	"TMED10"	2	6
10	99	0.101010101010101	"HNRNPA3"	2	6
10	99	0.101010101010101	"PPA1"	2	6
10	99	0.101010101010101	"SNX17"	2	6
10	99	0.101010101010101	"APOA1BP"	2	5
10	99	0.101010101010101	"TUFM"	2	5
10	99	0.101010101010101	"ECHS1"	2	5
10	99	0.101010101010101	"GLTSCR2"	2	5
10	99	0.101010101010101	"RPS27L"	2	5
10	99	0.101010101010101	"NDUFB1"	2	5
10	99	0.101010101010101	"SSBP1"	2	5
10	99	0.101010101010101	"PRDX6"	2	5
10	99	0.101010101010101	"ENO1"	2	5
10	99	0.101010101010101	"PPP4C"	2	5
10	99	0.101010101010101	"COA3"	2	5
10	99	0.101010101010101	"TCEAL4"	2	5
10	99	0.101010101010101	"MRPL54"	2	5
10	99	0.101010101010101	"LAMTOR2"	2	5
10	99	0.101010101010101	"PAIP2"	2	4
10	99	0.101010101010101	"DAP"	2	4
10	99	0.101010101010101	"RPL22L1"	2	4
10	99	0.101010101010101	"C6orf203"	2	4
10	99	0.101010101010101	"TECR"	2	4
10	99	0.101010101010101	"PEBP1"	2	4
10	99	0.101010101010101	"TMED9"	2	4
10	99	0.101010101010101	"ATP6V1F"	2	4
10	99	0.101010101010101	"ESD"	2	4
10	99	0.101010101010101	"EIF3I"	2	4
10	99	0.101010101010101	"SCO2"	2	4
10	99	0.101010101010101	"ATP5D"	2	4
10	99	0.101010101010101	"UAP1"	2	4
10	99	0.101010101010101	"TMEM258"	2	3
10	99	0.101010101010101	"COX17"	2	3
47	71	0.661971830985915	"HLA-B"	3	14
44	71	0.619718309859155	"HLA-A"	3	13
41	71	0.577464788732394	"VIM"	3	10
39	71	0.549295774647887	"CD74"	3	12
34	71	0.47887323943662	"SRGN"	3	13
33	71	0.464788732394366	"HLA-C"	3	12
32	71	0.450704225352113	"IFI27"	3	11
31	71	0.436619718309859	"HLA-E"	3	11
31	71	0.436619718309859	"IFITM1"	3	10
30	71	0.422535211267606	"PSMB9"	3	12
30	71	0.422535211267606	"RGCC"	3	12
30	71	0.422535211267606	"S100A4"	3	12
28	71	0.394366197183099	"HLA-DRA"	3	10
27	71	0.380281690140845	"ISG15"	3	12
27	71	0.380281690140845	"IL32"	3	11
27	71	0.380281690140845	"SPARC"	3	10
27	71	0.380281690140845	"TAGLN"	3	9
27	71	0.380281690140845	"IFITM3"	3	8
27	71	0.380281690140845	"IFITM2"	3	8
26	71	0.366197183098592	"IGFBP7"	3	9
26	71	0.366197183098592	"CALD1"	3	8
25	71	0.352112676056338	"HLA-DPB1"	3	9
25	71	0.352112676056338	"HLA-DPA1"	3	8
25	71	0.352112676056338	"B2M"	3	8
25	71	0.352112676056338	"TIMP1"	3	7
24	71	0.338028169014085	"RGS1"	3	11
24	71	0.338028169014085	"FN1"	3	8
24	71	0.338028169014085	"ACTA2"	3	7
23	71	0.323943661971831	"HLA-DRB1"	3	9
23	71	0.323943661971831	"SERPING1"	3	8
22	71	0.309859154929577	"ANXA1"	3	9
22	71	0.309859154929577	"TPM2"	3	7
22	71	0.309859154929577	"TMSB4X"	3	5
21	71	0.295774647887324	"CD69"	3	11
21	71	0.295774647887324	"CCL4"	3	10
20	71	0.28169014084507	"LAPTM5"	3	11
20	71	0.28169014084507	"GSN"	3	9
20	71	0.28169014084507	"APOE"	3	9
20	71	0.28169014084507	"STAT1"	3	8
20	71	0.28169014084507	"SPARCL1"	3	6
19	71	0.267605633802817	"IFI6"	3	10
19	71	0.267605633802817	"DUSP1"	3	10
18	71	0.253521126760563	"CXCR4"	3	10
18	71	0.253521126760563	"CCL5"	3	9
18	71	0.253521126760563	"UBE2L6"	3	8
18	71	0.253521126760563	"MYL9"	3	8
18	71	0.253521126760563	"SLC2A3"	3	8
18	71	0.253521126760563	"BST2"	3	7
18	71	0.253521126760563	"CAV1"	3	6
17	71	0.23943661971831	"CD52"	3	10
17	71	0.23943661971831	"ZFP36L2"	3	9
17	71	0.23943661971831	"HLA-DQB1"	3	8
17	71	0.23943661971831	"PDLIM1"	3	8
17	71	0.23943661971831	"TNFAIP3"	3	8
17	71	0.23943661971831	"CORO1A"	3	8
17	71	0.23943661971831	"RARRES3"	3	7
17	71	0.23943661971831	"TYMP"	3	6
17	71	0.23943661971831	"C1S"	3	6
17	71	0.23943661971831	"PTRF"	3	6
16	71	0.225352112676056	"PSME2"	3	10
16	71	0.225352112676056	"CYTIP"	3	9
16	71	0.225352112676056	"COL1A1"	3	9
16	71	0.225352112676056	"PSMB8"	3	8
16	71	0.225352112676056	"NNMT"	3	8
16	71	0.225352112676056	"HLA-DQA1"	3	8
16	71	0.225352112676056	"DUSP2"	3	8
16	71	0.225352112676056	"COL1A2"	3	8
16	71	0.225352112676056	"ARHGDIB"	3	8
16	71	0.225352112676056	"COL6A2"	3	7
16	71	0.225352112676056	"FOS"	3	7
16	71	0.225352112676056	"CCL2"	3	6
16	71	0.225352112676056	"BGN"	3	6
16	71	0.225352112676056	"ID3"	3	4
15	71	0.211267605633803	"TUBA1A"	3	8
15	71	0.211267605633803	"RAC2"	3	8
15	71	0.211267605633803	"LBH"	3	8
15	71	0.211267605633803	"HLA-DRB5"	3	7
15	71	0.211267605633803	"FCER1G"	3	7
15	71	0.211267605633803	"GBP1"	3	7
15	71	0.211267605633803	"C1QA"	3	7
15	71	0.211267605633803	"COTL1"	3	7
15	71	0.211267605633803	"LUM"	3	7
15	71	0.211267605633803	"MYL6"	3	5
15	71	0.211267605633803	"GBP2"	3	5
14	71	0.197183098591549	"BTG1"	3	10
14	71	0.197183098591549	"CD37"	3	9
14	71	0.197183098591549	"HCST"	3	9
14	71	0.197183098591549	"LIMD2"	3	8
14	71	0.197183098591549	"IFIT3"	3	8
14	71	0.197183098591549	"IL7R"	3	8
14	71	0.197183098591549	"PTPRC"	3	8
14	71	0.197183098591549	"NKG7"	3	8
14	71	0.197183098591549	"FYB"	3	8
14	71	0.197183098591549	"TAP1"	3	7
14	71	0.197183098591549	"LTB"	3	7
14	71	0.197183098591549	"S100A6"	3	7
14	71	0.197183098591549	"COL3A1"	3	7
14	71	0.197183098591549	"EMP3"	3	7
14	71	0.197183098591549	"A2M"	3	6
14	71	0.197183098591549	"JUNB"	3	6
14	71	0.197183098591549	"TPM1"	3	5
14	71	0.197183098591549	"FABP4"	3	4
13	71	0.183098591549296	"TXNIP"	3	9
13	71	0.183098591549296	"SAT1"	3	8
13	71	0.183098591549296	"FXYD5"	3	8
13	71	0.183098591549296	"CD3E"	3	8
13	71	0.183098591549296	"HLA-DMA"	3	7
13	71	0.183098591549296	"CTSC"	3	7
13	71	0.183098591549296	"TSC22D3"	3	7
13	71	0.183098591549296	"MYL12A"	3	6
13	71	0.183098591549296	"CST3"	3	6
13	71	0.183098591549296	"CNN2"	3	6
13	71	0.183098591549296	"PHLDA1"	3	6
13	71	0.183098591549296	"LYZ"	3	6
13	71	0.183098591549296	"IFI44L"	3	6
13	71	0.183098591549296	"MARCKS"	3	6
13	71	0.183098591549296	"ID1"	3	6
13	71	0.183098591549296	"DCN"	3	6
13	71	0.183098591549296	"TGFBI"	3	5
13	71	0.183098591549296	"BIRC3"	3	5
13	71	0.183098591549296	"THY1"	3	5
13	71	0.183098591549296	"LGALS1"	3	4
12	71	0.169014084507042	"GPX1"	3	7
12	71	0.169014084507042	"C1QB"	3	7
12	71	0.169014084507042	"CD2"	3	7
12	71	0.169014084507042	"CST7"	3	7
12	71	0.169014084507042	"COL6A3"	3	7
12	71	0.169014084507042	"ACAP1"	3	7
12	71	0.169014084507042	"IFI16"	3	7
12	71	0.169014084507042	"ITM2B"	3	6
12	71	0.169014084507042	"POSTN"	3	6
12	71	0.169014084507042	"LDHB"	3	6
12	71	0.169014084507042	"FLNA"	3	5
12	71	0.169014084507042	"FILIP1L"	3	5
12	71	0.169014084507042	"CDKN1A"	3	5
12	71	0.169014084507042	"IRF1"	3	5
12	71	0.169014084507042	"LGALS3"	3	4
12	71	0.169014084507042	"SERPINH1"	3	4
12	71	0.169014084507042	"EFEMP1"	3	4
11	71	0.154929577464789	"PSME1"	3	8
11	71	0.154929577464789	"SH3BGRL3"	3	7
11	71	0.154929577464789	"IL2RG"	3	7
11	71	0.154929577464789	"CD3D"	3	7
11	71	0.154929577464789	"SFRP2"	3	7
11	71	0.154929577464789	"TIMP3"	3	7
11	71	0.154929577464789	"ALOX5AP"	3	7
11	71	0.154929577464789	"GMFG"	3	7
11	71	0.154929577464789	"CYBA"	3	6
11	71	0.154929577464789	"TAGLN2"	3	6
11	71	0.154929577464789	"LAP3"	3	6
11	71	0.154929577464789	"RGS2"	3	6
11	71	0.154929577464789	"CLEC2B"	3	6
11	71	0.154929577464789	"TRBC2"	3	6
11	71	0.154929577464789	"NR4A2"	3	6
11	71	0.154929577464789	"S100A8"	3	5
11	71	0.154929577464789	"PSMB10"	3	5
11	71	0.154929577464789	"OPTN"	3	5
11	71	0.154929577464789	"CTSB"	3	5
11	71	0.154929577464789	"FTL"	3	5
11	71	0.154929577464789	"KRT17"	3	5
11	71	0.154929577464789	"AREG"	3	5
11	71	0.154929577464789	"MYH9"	3	5
11	71	0.154929577464789	"MMP7"	3	5
11	71	0.154929577464789	"COL6A1"	3	5
11	71	0.154929577464789	"GZMA"	3	5
11	71	0.154929577464789	"RNASE1"	3	5
11	71	0.154929577464789	"PCOLCE"	3	5
11	71	0.154929577464789	"PTN"	3	4
11	71	0.154929577464789	"PYCARD"	3	4
11	71	0.154929577464789	"ARPC2"	3	4
11	71	0.154929577464789	"SGK1"	3	4
11	71	0.154929577464789	"COL18A1"	3	4
11	71	0.154929577464789	"GSTP1"	3	4
11	71	0.154929577464789	"NPC2"	3	4
11	71	0.154929577464789	"SOD3"	3	4
11	71	0.154929577464789	"MFGE8"	3	3
11	71	0.154929577464789	"COL4A1"	3	3
11	71	0.154929577464789	"ADIRF"	3	2
10	71	0.140845070422535	"HLA-F"	3	7
10	71	0.140845070422535	"CD7"	3	7
10	71	0.140845070422535	"APOC1"	3	6
